Timestep,Glucose,Insulin
124,98.644679,0.20796315
125,102.02489,0.20560107
126,98.822183,0.20325365
127,102.06429,0.20097224
128,98.993911,0.19870379
129,102.10234,0.19650031
130,99.160037,0.19430814
131,102.13908,0.19217993
132,99.320729,0.19006144
133,102.17454,0.18800593
134,99.476153,0.18595861
135,102.20877,0.18397332
136,99.626469,0.18199473
137,102.2418,0.18007726
138,99.771835,0.17816506
139,102.27367,0.1763131
140,99.912402,0.17446501
141,102.30441,0.17267632
142,100.04832,0.17089016
143,102.33405,0.16916256
144,100.17973,0.16743621
145,102.36264,0.16576761
146,100.30678,0.16409902
147,102.39019,0.16248741
148,100.42959,0.1608746
149,102.41674,0.15931803
150,100.54831,0.15775909
151,102.44233,0.15625566
152,100.66307,0.15474874
153,102.46698,0.15329663
154,100.77398,0.15183996
155,102.49071,0.15043741
156,100.88117,0.14902924
157,102.51357,0.14767455
158,100.98476,0.14631324
159,102.53557,0.14500476
160,101.08487,0.14368868
161,102.55674,0.14242482
162,101.1816,0.14115243
163,102.57711,0.13993167
164,101.27507,0.13870146
165,102.59671,0.1375223
166,101.36537,0.13633283
167,102.61555,0.13519384
168,101.45261,0.1340437
169,102.63366,0.1329435
170,101.5369,0.13183133
171,102.65107,0.13076859
172,101.61832,0.12969309
173,102.66779,0.12866651
174,101.69696,0.12762642
175,102.68385,0.12663475
176,101.77293,0.12562885
177,102.69927,0.12467089
178,101.84631,0.123698
179,102.71407,0.12277259
180,101.91717,0.12183156
181,102.72826,0.12093758
182,101.98561,0.12002731
183,102.74188,0.11916367
184,102.0517,0.11828312
185,102.75493,0.11744876
186,102.11553,0.11659689
187,102.76744,0.11579081
188,102.17716,0.11496663
189,102.77942,0.11418785
190,102.23666,0.1133904
191,102.79089,0.11263798
192,102.29412,0.11186634
193,102.80186,0.11113936
194,102.34959,0.11039264
195,102.81236,0.10969022
196,102.40314,0.10896756
197,102.8224,0.10828885
198,102.45484,0.10758941
199,102.83198,0.10693359
200,102.50475,0.10625658
201,102.84114,0.10562285
202,102.55292,0.10496748
203,102.84987,0.10435508
204,102.59942,0.1037206
205,102.8582,0.10312879
206,102.6443,0.10251449
207,102.86613,0.10194256
208,102.68761,0.10134773
209,102.87369,0.10079497
210,102.72941,0.10021894
211,102.88088,0.099684709
212,102.76975,0.099126821
213,102.88771,0.098610464
214,102.80868,0.098070092
215,102.8942,0.097570988
216,102.84624,0.097047525
217,102.90036,0.096565075
218,102.88248,0.096057934
219,102.9062,0.095591557
220,102.91745,0.095100171
221,102.94197,0.094649645
222,102.98012,0.094174831
223,103.02988,0.093742427
224,103.09165,0.093288233
225,103.16339,0.092879667
226,103.24547,0.092453049
227,103.33583,0.092076157
228,103.43476,0.091685529
229,103.54015,0.091349034
230,103.65225,0.091003197
231,103.76889,0.090715779
232,103.89026,0.090423119
233,104.01414,0.090192721
234,104.1407,0.089960602
235,104.26769,0.089793897
236,104.39529,0.089628207
237,104.52122,0.089530207
238,104.64567,0.089435013
239,104.76642,0.089408788
240,104.88368,0.089386112
241,104.99529,0.089432604
242,105.10154,0.089482289
243,105.20035,0.089600226
244,105.29212,0.089719886
245,105.37488,0.089905779
246,105.44916,0.090090841
247,105.51314,0.090339064
248,105.5675,0.090582887
249,105.61059,0.090885835
250,105.64325,0.091179908
251,105.66401,0.091528225
252,105.67392,0.091862423
253,105.67169,0.092245299
254,105.65855,0.092608211
255,105.63342,0.093013724
256,105.59772,0.093393017
257,105.55055,0.093808526
258,105.49354,0.094191351
259,105.42595,0.094603907
260,105.34958,0.094977324
261,105.26387,0.095374103
262,105.17075,0.095725511
263,105.06979,0.096094237
264,104.96306,0.096411789
265,104.85025,0.096741144
266,104.7335,0.097014142
267,104.61256,0.097294136
268,104.48966,0.09751338
269,104.3646,0.097735677
270,104.23959,0.097893764
271,104.11446,0.09805195
272,103.99142,0.098143503
273,103.87026,0.098233283
274,103.75314,0.09825512
275,103.63979,0.098274442
276,103.53231,0.098225654
277,103.43033,0.098174758
278,103.33585,0.098056725
279,103.2484,0.097938113
280,103.16985,0.097754433
281,103.09958,0.097572765
282,103.03932,0.097329119
283,102.98833,0.097091045
284,102.94816,0.096794993
285,102.91792,0.096508921
286,102.89899,0.096169646
287,102.89031,0.095845456
288,102.89311,0.095473457
289,102.91544,0.095122282
290,102.93938,0.094729452
291,102.97323,0.094363692
292,103.01787,0.093962338
293,103.07173,0.093594064
294,103.13557,0.093196237
295,103.20768,0.092837507
296,103.28865,0.092455167
297,103.37666,0.09211775
298,103.4722,0.091762377
299,103.5733,0.091457368
300,103.68037,0.091139589
301,103.79136,0.090877059
302,103.90659,0.090606307
303,104.02394,0.09039498
304,104.14369,0.090179201
305,104.26367,0.09002618
306,104.38414,0.08987158
307,104.50292,0.089782126
308,104.62027,0.089692973
309,104.73404,0.089670327
310,104.84452,0.089648814
311,104.94961,0.0896941
312,105.04967,0.089740268
313,105.14268,0.089852444
314,105.22908,0.089964176
315,105.30696,0.090140062
316,105.3769,0.090313141
317,105.43711,0.090547517
318,105.48831,0.090775754
319,105.52888,0.091061514
320,105.55968,0.091336946
321,105.57927,0.091665327
322,105.5887,0.091978463
323,105.58667,0.092339326
324,105.57445,0.092679458
325,105.55091,0.093061614
326,105.51749,0.093417165
327,105.47325,0.093808745
328,105.4198,0.094167651
329,105.35637,0.094556495
330,105.28472,0.094906603
